question,cypher,data_source,instance_id,database_reference_alias
"List the `country_codes` of entities with `jurisdiction_description` ""Samoa"".",MATCH (e:Entity {jurisdiction_description: 'Samoa'}) RETURN e.country_codes,neo4jLabs_synthetic_gemini,instance_id_30558,neo4jlabs_demo_db_offshoreleaks
What is the name of the Software that has the least versions?,"MATCH (s:Software) WITH s, size(s.versions) AS versionCount ORDER BY versionCount ASC LIMIT 1 RETURN s.name",neo4jLabs_synthetic_gemini,instance_id_32460,neo4jlabs_demo_db_network
List the top 5 movies with the most crew members in the 'Production' department.,"MATCH (m:Movie)<-[:CREW_FOR]-(p:Person) WHERE exists{ (p)-[:CREW_FOR {department: 'Production'}]->(m) } WITH m, count(p) AS crewCount RETURN m.title AS movie, crewCount ORDER BY crewCount DESC LIMIT 5",neo4jLabs_synthetic_claudeopus,instance_id_34920,neo4jlabs_demo_db_eoflix
Which 3 products have the highest units on order and are not discontinued?,"MATCH (p:Product) WHERE p.discontinued = false AND p.unitsOnOrder IS NOT NULL RETURN p.productName, p.unitsOnOrder ORDER BY p.unitsOnOrder DESC LIMIT 3",neo4jLabs_synthetic_gpt4turbo,instance_id_20371,neo4jlabs_demo_db_northwind
Name 3 persons who have directed a movie with a tagline containing 'limits'.,MATCH (p:Person)-[:DIRECTED]->(m:Movie) WHERE m.tagline CONTAINS 'limits' RETURN p.name LIMIT 3,neo4jLabs_synthetic_gpt4turbo,instance_id_24014,neo4jlabs_demo_db_movies
List all movies where the producer and director are the same person.,"MATCH (m:Movie)<-[:DIRECTED]-(p:Person)-[:PRODUCED]->(m) RETURN m.title AS movie, p.name AS person",neo4jLabs_synthetic_claudeopus,instance_id_37526,neo4jlabs_demo_db_movies
Show the top 5 movies with the lowest average vote but highest revenue.,"MATCH (m:Movie) WHERE m.average_vote IS NOT NULL AND m.revenue IS NOT NULL RETURN m.title, m.average_vote, m.revenue ORDER BY m.average_vote ASC, m.revenue DESC LIMIT 5",neo4jLabs_synthetic_claudeopus,instance_id_34747,neo4jlabs_demo_db_eoflix
"List the movies with a review summary containing the word ""compelling"".",MATCH (m:Movie)<-[r:REVIEWED]-(p:Person) WHERE r.summary CONTAINS 'compelling' RETURN DISTINCT m.title,neo4jLabs_synthetic_gemini,instance_id_33038,neo4jlabs_demo_db_movies
What are the top 3 most recent streams to reach over 1 million followers?,"MATCH (s:Stream) WHERE s.followers > 1000000 RETURN s.name, s.createdAt ORDER BY s.createdAt DESC LIMIT 3",neo4jLabs_synthetic_gpt4o,instance_id_43536,neo4jlabs_demo_db_twitch
What are the top 5 languages used in the original language of adult films?,"MATCH (a:Adult)-[:ORIGINAL_LANGUAGE]->(l:Language) RETURN l.name AS Language, count(a) AS NumberOfAdultFilms ORDER BY NumberOfAdultFilms DESC LIMIT 5",neo4jLabs_synthetic_gpt4turbo,instance_id_21007,neo4jlabs_demo_db_eoflix
Which 3 users have rated the most number of movies?,"MATCH (u:User)-[r:RATED]->(m:Movie) WITH u, count(r) AS num_ratings ORDER BY num_ratings DESC LIMIT 3 RETURN u, num_ratings",neo4jLabs_synthetic_claudeopus,instance_id_34951,neo4jlabs_demo_db_eoflix
Who are the top 3 users that 'Neo4j' amplifies the most?,"MATCH (me:Me {name: 'Neo4j'})-[:AMPLIFIES]->(user:User) RETURN user, count(*) AS amplification_count ORDER BY amplification_count DESC LIMIT 3",neo4jLabs_synthetic_gpt4turbo,instance_id_24312,neo4jlabs_demo_db_twitter
List the movies released between 1990 and 2000 with a rating lower than 60.,"MATCH (m:Movie) WHERE m.released >= 1990 AND m.released <= 2000 WITH m  MATCH (p:Person)-[r:REVIEWED]->(m) WHERE r.rating < 60  RETURN m.title, r.rating",neo4jLabs_synthetic_gemini,instance_id_32879,neo4jlabs_demo_db_movies
What are the details of entities that have an incorporation date in 2006?,MATCH (e:Entity) WHERE e.incorporation_date CONTAINS '2006' RETURN e,neo4jLabs_synthetic_gpt4turbo,instance_id_21246,neo4jlabs_demo_db_offshoreleaks
Find the tweets posted by 'Neo4j' that have been replied to by at least 3 different users.,"MATCH (neo4j:User {name: 'Neo4j'})-[:POSTS]->(tweet:Tweet)<-[:REPLY_TO]-(:Tweet)<-[:POSTS]-(u:User) WITH tweet, count(DISTINCT u) AS reply_count WHERE reply_count >= 3 RETURN tweet.id, tweet.text",neo4jLabs_synthetic_gemini,instance_id_34590,neo4jlabs_demo_db_twitter
What is the average rating of movies reviewed by persons born after 1970?,MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WHERE p.born > 1970 RETURN avg(r.rating) AS average_rating,neo4jLabs_synthetic_claudeopus,instance_id_38210,neo4jlabs_demo_db_movies
List the first 5 movies that have a tagline and were released after 2010.,"MATCH (m:Movie) WHERE m.tagline IS NOT NULL AND m.release_date > date('2010-01-01') RETURN m.title, m.tagline, m.release_date LIMIT 5",neo4jLabs_synthetic_claudeopus,instance_id_38356,neo4jlabs_demo_db_eoflix
List the top 5 filings where the beneficiary bank's country and originator bank's country are different and the amount is above 1 million.,MATCH (f:Filing) WHERE f.amount > 1000000 AND f.originator_bank_country <> f.beneficiary_bank_country RETURN f ORDER BY f.amount DESC LIMIT 5,neo4jLabs_synthetic_gpt4o,instance_id_41175,neo4jlabs_demo_db_fincen
What is the name of the Egress that has the most Interfaces connected to it?,"MATCH (e:Egress)-[:ROUTES]->(i:Interface) WITH e, count(i) AS interfaceCount RETURN e.name AS egressName, interfaceCount ORDER BY interfaceCount DESC LIMIT 1",neo4jLabs_synthetic_gemini,instance_id_32473,neo4jlabs_demo_db_network
What are the top 3 genres in which 'Pixar Animation Studios' has produced movies?,"MATCH (c:ProductionCompany {name: 'Pixar Animation Studios'})-[:PRODUCED_BY]-(m:Movie)-[:IN_GENRE]->(g:Genre) RETURN g.name AS genre, count(*) AS count ORDER BY count DESC LIMIT 3",neo4jLabs_synthetic_claudeopus,instance_id_38317,neo4jlabs_demo_db_eoflix
What are the top 5 countries in terms of total amount received by beneficiary banks?,"MATCH (f:Filing)-[:BENEFITS]->(e:Entity)-[:COUNTRY]->(c:Country) RETURN c.name AS Country, sum(f.amount) AS TotalAmountReceived ORDER BY TotalAmountReceived DESC LIMIT 5",neo4jLabs_synthetic_gpt4turbo,instance_id_21453,neo4jlabs_demo_db_fincen
"Which person has acted in, directed, and produced the same movie?","MATCH (p:Person)-[:ACTED_IN]->(m:Movie) MATCH (p)-[:DIRECTED]->(m) MATCH (p)-[:PRODUCED]->(m) RETURN p.name, m.title",neo4jLabs_synthetic_gpt4turbo,instance_id_23682,neo4jlabs_demo_db_movies
Which 3 directors were born in the same country they directed their first movie?,"MATCH (d:Director)-[:DIRECTED]->(m:Movie) WITH d, m ORDER BY m.year ASC WITH d, collect(m)[0] AS first_movie WHERE d.bornIn IS NOT NULL AND d.bornIn = first_movie.countries[0] RETURN d.name AS DirectorName, d.bornIn AS Country LIMIT 3",neo4jLabs_synthetic_gpt4o,instance_id_42026,neo4jlabs_demo_db_recommendations
Which 5 movies have the most detailed (longest) plots?,"MATCH (m:Movie) RETURN m.title, m.plot ORDER BY size(m.plot) DESC LIMIT 5",neo4jLabs_synthetic_gpt4o,instance_id_42020,neo4jlabs_demo_db_recommendations
What are the first 3 streams that have a follower count between 20000 and 50000?,MATCH (s:Stream) WHERE s.followers >= 20000 AND s.followers <= 50000 RETURN s ORDER BY s.createdAt ASC LIMIT 3,neo4jLabs_synthetic_gpt4turbo,instance_id_24385,neo4jlabs_demo_db_twitch
Identify the streams with the most followers who play 'Rust'.,"MATCH (s:Stream)-[:PLAYS]->(:Game {name: 'Rust'}) RETURN s.name AS stream, s.followers AS followers ORDER BY followers DESC LIMIT 10",neo4jLabs_synthetic_claudeopus,instance_id_37392,neo4jlabs_demo_db_twitch
Which 5 tweets contain the hashtag 'education'?,MATCH (h:Hashtag {name: 'education'})<-[:TAGS]-(t:Tweet) RETURN t ORDER BY t.created_at DESC LIMIT 5,neo4jLabs_synthetic_gpt4o,instance_id_43185,neo4jlabs_demo_db_twitter
What are the names of the first 5 streams created before 2010?,MATCH (s:Stream) WHERE s.createdAt < datetime('2010-01-01T00:00:00Z') RETURN s.name ORDER BY s.createdAt ASC LIMIT 5,neo4jLabs_synthetic_gpt4o,instance_id_43662,neo4jlabs_demo_db_twitch
What is the name of the Data Center that contains the Router with the highest zone number?,MATCH (r:Router) WITH max(r.zone) AS max_zone MATCH (r:Router {zone: max_zone})-[:CONTAINS]-(dc:DataCenter) RETURN dc.name,neo4jLabs_synthetic_gemini,instance_id_32426,neo4jlabs_demo_db_network
"""what are the primary languages in the films starred by actors in [Jumanji]""","MATCH (m:Movie {title: ""Jumanji""})<-[:CAST_FOR]-(p:Person)-[:CAST_FOR]->(movies:Movie)-[:ORIGINAL_LANGUAGE]->(lang:Language) RETURN DISTINCT lang.name",neo4j_crowdsourced,instance_id_27647,neo4jlabs_demo_db_eoflix
What are the top 3 services that depend on the application 'webapp'?,"MATCH (app:Application {name: 'webapp'})-[:DEPENDS_ON]->(service:Service) RETURN service.name, COUNT(*) AS dependency_count ORDER BY dependency_count DESC LIMIT 3",neo4jLabs_synthetic_gpt4o,instance_id_43862,neo4jlabs_demo_db_network
Find the first three movies reviewed with a rating above 90.,"MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WHERE r.rating > 90 RETURN m.title, r.rating ORDER BY r.rating DESC LIMIT 3",neo4jLabs_synthetic_gpt4o,instance_id_40112,neo4jlabs_demo_db_movies
List the top 5 tweets which mention the user with the highest followers.,MATCH (u:User) WITH u ORDER BY u.followers DESC LIMIT 1 MATCH (t:Tweet)-[:MENTIONS]->(u) RETURN t ORDER BY t.favorites DESC LIMIT 5,neo4jLabs_synthetic_gpt4turbo,instance_id_24976,neo4jlabs_demo_db_twitter
What are the first 3 adult videos by revenue?,"MATCH (a:Adult) RETURN a.title, a.revenue ORDER BY a.revenue DESC LIMIT 3",neo4jLabs_synthetic_gpt4o,instance_id_39447,neo4jlabs_demo_db_eoflix
Identify the first 3 tweets posted by 'Me' that reply to another tweet.,"MATCH (me:Me)-[:POSTS]->(tweet:Tweet)-[:REPLY_TO]->(repliedTo:Tweet) RETURN tweet, repliedTo ORDER BY tweet.created_at LIMIT 3",neo4jLabs_synthetic_claudeopus,instance_id_37191,neo4jlabs_demo_db_twitter
What are the first 3 games played by the stream 'itsbigchase'?,MATCH (s:Stream {name: 'itsbigchase'})-[:PLAYS]->(g:Game) RETURN g.name AS game ORDER BY s.createdAt LIMIT 3,neo4jLabs_synthetic_claudeopus,instance_id_36853,neo4jlabs_demo_db_twitch
What is the highest budget recorded for a movie?,MATCH (m:Movie) RETURN max(m.budget) AS max_budget,neo4jLabs_synthetic_gemini,instance_id_34266,neo4jlabs_demo_db_eoflix
Which products have the lowest unitsInStock in the 'Grains/Cereals' category?,"MATCH (p:Product)-[:PART_OF]->(c:Category {categoryName: 'Grains/Cereals'}) WITH p ORDER BY p.unitsInStock ASC LIMIT 1 RETURN p.productName, p.unitsInStock",neo4jLabs_synthetic_gpt4o,instance_id_45364,neo4jlabs_demo_db_northwind
What are the first 5 streams that have a language not listed in 'en' or 'ja'?,MATCH (s:Stream)-[:HAS_LANGUAGE]->(l:Language) WHERE l.name <> 'en' AND l.name <> 'ja' RETURN s ORDER BY s.createdAt LIMIT 5,neo4jLabs_synthetic_gpt4o,instance_id_43279,neo4jlabs_demo_db_twitch
What is the total revenue of movies released by Warner Bros. Pictures?,MATCH (m:Movie) WHERE 'USA' IN m.countries WITH sum(m.revenue) AS totalRevenue RETURN totalRevenue,neo4jLabs_synthetic_gemini,instance_id_29600,neo4jlabs_demo_db_recommendations
List the 3 movies with the lowest average ratings in the REVIEWED relationship.,"MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WITH m, AVG(r.rating) AS avgRating ORDER BY avgRating ASC LIMIT 3 RETURN m.title, avgRating",neo4jLabs_synthetic_gpt4turbo,instance_id_24010,neo4jlabs_demo_db_movies
What are the top 3 countries producing the most comedies?,"MATCH (c:Country)<-[:PRODUCED_IN_COUNTRY]-(m:Movie)-[:IN_GENRE]->(:Genre {name: 'Comedy'}) RETURN c.name AS country, count(*) AS comedyCount ORDER BY comedyCount DESC LIMIT 3",neo4jLabs_synthetic_claudeopus,instance_id_36888,neo4jlabs_demo_db_eoflix
What is the average number of followers for streams that have both VIP and chatter users?,MATCH (s:Stream) WHERE EXISTS { (s)-[:VIP]->(:User) }   AND EXISTS { (s)-[:CHATTER]->(:User) } WITH avg(s.followers) AS average_followers RETURN average_followers,neo4jLabs_synthetic_gemini,instance_id_34065,neo4jlabs_demo_db_twitch
Who follows 'neo4j' and has a higher follower count than 'neo4j'?,"MATCH (me:Me {screen_name: 'neo4j'})-[:FOLLOWS]->(user:User) WHERE user.followers > me.followers RETURN user.screen_name AS follower_screen_name, user.followers AS follower_count",neo4jLabs_synthetic_gpt4o,instance_id_43157,neo4jlabs_demo_db_twitter
Who are the actors that have acted in both 'The Matrix' and 'Speed Racer'?,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie) WHERE m.title IN ['The Matrix', 'Speed Racer'] WITH p, count(m) AS movies_count WHERE movies_count = 2 RETURN p.name",neo4jLabs_synthetic_gpt4turbo,instance_id_23515,neo4jlabs_demo_db_movies
Show the streams that have the most teams associated with them.,"MATCH (s:Stream)-[:HAS_TEAM]->(t:Team) WITH s, count(t) AS teamCount ORDER BY teamCount DESC RETURN s, teamCount",neo4jLabs_synthetic_gpt4turbo,instance_id_25439,neo4jlabs_demo_db_twitch
What are the top 5 users who have rated the most movies?,"MATCH (u:User)-[r:RATED]->(m:Movie) RETURN u.id, count(r) AS ratings_count ORDER BY ratings_count DESC LIMIT 5",neo4jLabs_synthetic_gpt4turbo,instance_id_20680,neo4jlabs_demo_db_eoflix
Which categories include products with a reorder level of 25?,MATCH (p:Product)-[:PART_OF]->(c:Category) WHERE p.reorderLevel = 25 RETURN DISTINCT c.categoryName,neo4jLabs_synthetic_gpt4turbo,instance_id_20486,neo4jlabs_demo_db_northwind
Which country has the least number of entities that are beneficiaries?,"MATCH (e:Entity)-[:BENEFITS]->(f:Filing) WITH e, count(f) AS filingsCount ORDER BY filingsCount ASC LIMIT 1 MATCH (e)-[:COUNTRY]->(c:Country) RETURN c.name AS Country, filingsCount",neo4jLabs_synthetic_gpt4turbo,instance_id_22846,neo4jlabs_demo_db_fincen
What are the first 3 movies with the highest ratings reviewed by people born after 1980?,"MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WHERE p.born > 1980 RETURN m.title, r.rating ORDER BY r.rating DESC LIMIT 3",neo4jLabs_synthetic_gpt4turbo,instance_id_24108,neo4jlabs_demo_db_movies
Which 3 streams have the most chatter relationships?,"MATCH (s:Stream)<-[:CHATTER]-(u:User) WITH s, COUNT(u) AS chatterCount RETURN s.name AS streamName, chatterCount ORDER BY chatterCount DESC LIMIT 3",neo4jLabs_synthetic_gpt4o,instance_id_43649,neo4jlabs_demo_db_twitch
"List the first 3 users who replied to tweets that mention ""Neo4j"".",MATCH (t:Tweet)<-[:POSTS]-(u:User) WHERE t.text CONTAINS 'Neo4j' WITH DISTINCT u RETURN u.screen_name AS user_screen_name LIMIT 3,neo4jLabs_synthetic_gemini,instance_id_34487,neo4jlabs_demo_db_twitter
"What is the average rating of movies with a title that contains the word ""Pulp""?",MATCH (m:Movie) WHERE m.title CONTAINS 'Pulp' WITH avg(m.votes) AS average_rating RETURN average_rating,neo4jLabs_synthetic_gemini,instance_id_33085,neo4jlabs_demo_db_movies
Provide the names of entities that were incorporated on '10-JAN-2006' and have a jurisdiction of 'SAM'.,MATCH (e:Entity) WHERE e.incorporation_date = '10-JAN-2006' AND e.jurisdiction = 'SAM' RETURN e.name,neo4jLabs_synthetic_gpt4o,instance_id_44812,neo4jlabs_demo_db_offshoreleaks
What are the top 3 software names that depend on 'webserver'?,"MATCH (s:Software)-[:DEPENDS_ON*]->(a:Application {name: 'webserver'}) RETURN s.name AS SoftwareName, count(*) AS DependencyCount ORDER BY DependencyCount DESC LIMIT 3",neo4jLabs_synthetic_gpt4turbo,instance_id_20537,neo4jlabs_demo_db_network
Which 3 users have rated the same movie with different ratings?,"MATCH (u1:User)-[r1:RATED]->(m:Movie)<-[r2:RATED]-(u2:User), (m)<-[r3:RATED]-(u3:User) WHERE u1.userId <> u2.userId AND u1.userId <> u3.userId AND u2.userId <> u3.userId AND r1.rating <> r2.rating AND r1.rating <> r3.rating AND r2.rating <> r3.rating RETURN u1.name AS User1, r1.rating AS Rating1, u2.name AS User2, r2.rating AS Rating2, u3.name AS User3, r3.rating AS Rating3, m.title AS Movie LIMIT 3",neo4jLabs_synthetic_gpt4o,instance_id_42065,neo4jlabs_demo_db_recommendations
List the summaries of reviews for movies with a rating lower than 60.,MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WHERE r.rating < 60 RETURN r.summary,neo4jLabs_synthetic_gemini,instance_id_33128,neo4jlabs_demo_db_movies
Who are the top 5 most recent users followed by 'Neo4j'?,"MATCH (me:Me {screen_name: 'neo4j'})-[:FOLLOWS]->(user:User) RETURN user.name, user.screen_name ORDER BY user.following DESC LIMIT 5",neo4jLabs_synthetic_gpt4o,instance_id_42914,neo4jlabs_demo_db_twitter
Which 5 movies have been directed by persons who also have an acting role in any movie?,MATCH (p:Person)-[:DIRECTED]->(m:Movie) WHERE exists{ (p)-[:ACTED_IN]->(:Movie) } RETURN m.title AS movie LIMIT 5,neo4jLabs_synthetic_claudeopus,instance_id_35144,neo4jlabs_demo_db_recommendations
What is the name of the movie with the lowest IMDb rating that was released after 2000?,"MATCH (m:Movie) WHERE m.year > 2000 RETURN m.title, m.imdbRating ORDER BY m.imdbRating ASC LIMIT 1",neo4jLabs_synthetic_gemini,instance_id_29539,neo4jlabs_demo_db_recommendations
Name the movies that have been acted in and directed by the same person.,MATCH (p:Person)-[:ACTED_IN]->(m:Movie)<-[:DIRECTED]-(p) RETURN m.title,neo4jLabs_synthetic_claudeopus,instance_id_35958,neo4jlabs_demo_db_recommendations
What is the total number of filings where the 'originator_country' is the same as the 'beneficiary_country'?,MATCH (f:Filing) WHERE f.originator_country = f.beneficiary_country RETURN count(f),neo4jLabs_synthetic_gemini,instance_id_29059,neo4jlabs_demo_db_fincen
What are the top 3 entities by the number of filings they originated in 2007?,"MATCH (e:Entity)-[:FILED]->(f:Filing) WHERE f.begin >= datetime('2007-01-01T00:00:00Z') AND f.end <= datetime('2007-12-31T23:59:59Z') WITH e, count(f) AS filings_count ORDER BY filings_count DESC LIMIT 3 RETURN e.name AS entity_name, filings_count",neo4jLabs_synthetic_gpt4o,instance_id_41094,neo4jlabs_demo_db_fincen
Which 3 movies have the most significant number of cast members?,"MATCH (m:Movie)<-[:CAST_FOR]-(p:Person) WITH m, count(p) AS cast_count ORDER BY cast_count DESC LIMIT 3 RETURN m.title AS MovieTitle, cast_count AS NumberOfCastMembers",neo4jLabs_synthetic_gpt4o,instance_id_44349,neo4jlabs_demo_db_eoflix
"When does the subscription with id ""e74f7163-eace-4169-8043-41627f1fe236"" expire?","MATCH (s:Subscription {id: ""e74f7163-eace-4169-8043-41627f1fe236""}) RETURN s.expiresAt",neo4jLabs_synthetic_gemini,instance_id_34614,neo4jlabs_demo_db_eoflix
Provide the names of all entities that have a tax status description.,MATCH (e:Entity) WHERE e.tax_stat_description IS NOT NULL RETURN e.name,neo4jLabs_synthetic_gpt4turbo,instance_id_21116,neo4jlabs_demo_db_offshoreleaks
Find all machines running OS named 'RHEL' in the first 5 racks of zone 1.,"MATCH (dc:DataCenter)-[:CONTAINS]->(r:Rack {zone: 1}) WHERE r.rack <= 5 MATCH (r)-[:HOLDS]->(m:Machine)-[:RUNS]->(os:OS {name: 'RHEL'}) RETURN m.name AS MachineName, os.name AS OSName",neo4jLabs_synthetic_gpt4turbo,instance_id_20184,neo4jlabs_demo_db_network
Which 3 entities have been the originator in filings with the highest total amounts transferred?,"MATCH (e:Entity)-[:ORIGINATOR]->(f:Filing) WITH e, sum(f.amount) AS totalAmount ORDER BY totalAmount DESC LIMIT 3 RETURN e.name AS EntityName, totalAmount",neo4jLabs_synthetic_gpt4turbo,instance_id_21387,neo4jlabs_demo_db_fincen
What is the maximum RAM capacity of types available in DataCenter DC1?,MATCH (dc:DataCenter {name: 'DC1'})-[:CONTAINS]->(:Rack)-[:HOLDS]->(m:Machine)-[:TYPE]->(t:Type) RETURN MAX(t.ram) AS maxRAM,neo4jLabs_synthetic_gpt4turbo,instance_id_20927,neo4jlabs_demo_db_network
What are the names of all hashtags used in tweets from 'Neo4j'?,MATCH (u:User {name: 'Neo4j'})-[:POSTS]->(t:Tweet)-[:TAGS]->(h:Hashtag) RETURN h.name,neo4jLabs_synthetic_gpt4turbo,instance_id_24875,neo4jlabs_demo_db_twitter
What are the top 5 videos produced in 'United States of America'?,"MATCH (v:Video)-[:PRODUCED_IN_COUNTRY]->(c:Country {name: 'United States of America'}) RETURN v.title, v.popularity ORDER BY v.popularity DESC LIMIT 5",neo4jLabs_synthetic_gpt4o,instance_id_44413,neo4jlabs_demo_db_eoflix
Find the first three movies with a tagline that includes the word 'journey' and were released before the year 2000.,MATCH (m:Movie) WHERE m.tagline CONTAINS 'journey' AND m.released < 2000 RETURN m ORDER BY m.released LIMIT 3,neo4jLabs_synthetic_gpt4turbo,instance_id_24078,neo4jlabs_demo_db_movies
Which 3 games are mostly played by streams with a total view count exceeding 100 million?,"MATCH (s:Stream)-[:PLAYS]->(g:Game) WHERE s.total_view_count > 100000000 RETURN g.name, COUNT(s) AS stream_count ORDER BY stream_count DESC LIMIT 3",neo4jLabs_synthetic_gpt4o,instance_id_42954,neo4jlabs_demo_db_twitch
What are the first 3 movies where Keanu Reeves and Laurence Fishburne acted together?,"MATCH (kr:Person {name: ""Keanu Reeves""})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(lf:Person {name: ""Laurence Fishburne""}) RETURN m.title AS MovieTitle LIMIT 3",neo4jLabs_synthetic_gpt4turbo,instance_id_24105,neo4jlabs_demo_db_movies
What is the IP of the Interface connected to the Egress 'DC1-RE'?,MATCH (e:Egress {name: 'DC1-RE'})-[:ROUTES]->(i:Interface) RETURN i.ip AS InterfaceIP,neo4jLabs_synthetic_gpt4o,instance_id_43800,neo4jlabs_demo_db_network
What are the first 3 movies with a released year of 1996?,MATCH (m:Movie) WHERE m.released = 1996 RETURN m.title LIMIT 3,neo4jLabs_synthetic_claudeopus,instance_id_36283,neo4jlabs_demo_db_movies
Which movies have 'Robin Williams' mentioned in the review summary?,MATCH (p:Person)-[r:REVIEWED]->(m:Movie) WHERE r.summary CONTAINS 'Robin Williams' RETURN m.title AS MovieTitle,neo4jLabs_synthetic_gpt4o,instance_id_39409,neo4jlabs_demo_db_movies
List the first 3 applications that depend on the service named 'java'.,MATCH (app:Application)-[:DEPENDS_ON]->(service:Service {name: 'java'}) RETURN app.name LIMIT 3,neo4jLabs_synthetic_gpt4o,instance_id_44074,neo4jlabs_demo_db_network
List the 3 streams that have been followed by more than 1 million users.,"MATCH (s:Stream) WHERE s.followers > 1000000 RETURN s.name, s.followers ORDER BY s.followers DESC LIMIT 3",neo4jLabs_synthetic_gpt4o,instance_id_43336,neo4jlabs_demo_db_twitch
"Which movies have been reviewed with a summary 'Fun, but a little far fetched' and what were their ratings?","MATCH (m:Movie)<-[r:REVIEWED]-(p:Person) WHERE r.summary = 'Fun, but a little far fetched' RETURN m.title AS movie, r.rating AS rating",neo4jLabs_synthetic_claudeopus,instance_id_35039,neo4jlabs_demo_db_movies
Identify the streams with more than 3 VIP users.,"MATCH (s:Stream)-[:VIP]->(u:User) WITH s, COUNT(u) AS vipCount WHERE vipCount > 3 RETURN s.name AS streamName, vipCount",neo4jLabs_synthetic_gpt4o,instance_id_43589,neo4jlabs_demo_db_twitch
Which movie has the highest IMDb rating and was released in the 1990s?,"MATCH (m:Movie) WHERE m.released >= 1990 AND m.released <= 1999 RETURN m.title, m.released ORDER BY m.released DESC LIMIT 1",neo4jLabs_synthetic_gemini,instance_id_32964,neo4jlabs_demo_db_movies
Which 5 movies have the most actors involved?,"MATCH (m:Movie)<-[:ACTED_IN]-(a:Actor) WITH m, COUNT(a) AS actorCount ORDER BY actorCount DESC LIMIT 5 RETURN m.title AS movieTitle, actorCount",neo4jLabs_synthetic_gpt4o,instance_id_42038,neo4jlabs_demo_db_recommendations
List the top 5 actors by number of movies they've acted in with a budget over 100 million.,"MATCH (a:Actor)-[:ACTED_IN]->(m:Movie) WHERE m.budget > 100000000 WITH a, count(m) AS numMovies ORDER BY numMovies DESC LIMIT 5 RETURN a.name AS actor, numMovies",neo4jLabs_synthetic_claudeopus,instance_id_35301,neo4jlabs_demo_db_recommendations
List the top 3 movies with the tagline 'What price would you put on your health?',"MATCH (m:Movie) WHERE m.tagline = 'What price would you put on your health?' RETURN m.title, m.average_vote ORDER BY m.average_vote DESC LIMIT 3",neo4jLabs_synthetic_gpt4o,instance_id_44378,neo4jlabs_demo_db_eoflix
"""Return all movies""",MATCH (m:Movie) RETURN m,neo4j_crowdsourced,instance_id_27860,neo4jlabs_demo_db_movies
Which 3 genres are most common in adult films?,"MATCH (a:Adult)-[:IN_GENRE]->(g:Genre) RETURN g.name AS Genre, count(a) AS NumberOfAdultFilms ORDER BY NumberOfAdultFilms DESC LIMIT 3",neo4jLabs_synthetic_gpt4turbo,instance_id_20826,neo4jlabs_demo_db_eoflix
"""Which actor worked with the same actors as Kevin Bacon?""","MATCH (kevin:Person {name: ""Kevin Bacon""})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(coActor:Person),       (coActor)-[:ACTED_IN]->(m2:Movie)<-[:ACTED_IN]-(otherActor:Person) WHERE NOT otherActor.name = ""Kevin Bacon"" RETURN DISTINCT otherActor.name",neo4j_crowdsourced,instance_id_27853,neo4jlabs_demo_db_movies
List the movies that have been tagged with the keyword 'explosive'.,MATCH (m:Movie)-[:HAS_KEYWORD]->(k:Keyword {name: 'explosive'}) RETURN m,neo4jLabs_synthetic_gpt4turbo,instance_id_20847,neo4jlabs_demo_db_eoflix
Identify the first 3 Applications running on Machine 'DC1-RCK-1-1-M-1'.,MATCH (m:Machine {name: 'DC1-RCK-1-1-M-1'})-[:RUNS]->(app:Application) RETURN app LIMIT 3,neo4jLabs_synthetic_gpt4turbo,instance_id_20875,neo4jlabs_demo_db_network
List entities with their service providers and incorporation dates.,"MATCH (e:Entity) RETURN e.name AS EntityName, e.service_provider AS ServiceProvider, e.incorporation_date AS IncorporationDate",neo4jLabs_synthetic_gpt4turbo,instance_id_21316,neo4jlabs_demo_db_offshoreleaks
Who are the 3 directors with the fewest produced movies?,"MATCH (d:Person)-[:DIRECTED]->(m:Movie) WITH d, count(m) AS num_directed ORDER BY num_directed LIMIT 3 RETURN d.name AS director, num_directed AS movies_produced",neo4jLabs_synthetic_claudeopus,instance_id_37621,neo4jlabs_demo_db_movies
Which 3 products have the lowest units on order and are not discontinued?,MATCH (p:Product) WHERE p.discontinued = false AND p.unitsOnOrder IS NOT NULL RETURN p ORDER BY p.unitsOnOrder ASC LIMIT 3,neo4jLabs_synthetic_gpt4turbo,instance_id_22048,neo4jlabs_demo_db_northwind
"What are the first 3 users who are VIPs in streams with more than 10,000 total views?",MATCH (u:User)-[:VIP]->(s:Stream) WHERE s.total_view_count > 10000 RETURN u.name LIMIT 3,neo4jLabs_synthetic_gpt4o,instance_id_43680,neo4jlabs_demo_db_twitch
List the top 5 customers who have ordered the most units of a single product.,"MATCH (c:Customer)-[:PURCHASED]->(o:Order)-[r:ORDERS]->(p:Product) RETURN c.companyName, SUM(r.quantity) AS totalUnitsOrdered ORDER BY totalUnitsOrdered DESC LIMIT 5",neo4jLabs_synthetic_gpt4turbo,instance_id_21844,neo4jlabs_demo_db_northwind
